,phone,word
0,a b iː n ɐ,"['abiner', 'abbiner']"
1,a b uː ɐ,"['abour', 'abur']"
2,a b ɪ,"['aby', 'abi', 'abbi']"
3,a b ɪ f oː n,"['abyphon', 'abyphone', 'abyfon']"
4,a b ʁ ɪ k,"['abric', 'abrik']"
5,a b ʊ,"['aboo', 'abu']"
6,a cʰ eː t,"['acket', 'aket']"
7,a cʰ eː t s,"['akets', 'ackets']"
8,a cʰ ɛ n s,"['ackens', 'akens']"
9,a cʰ ɛ ʁ ɪ,"['akary', 'akery']"
10,a d eː,"['add', 'ade']"
11,a d ɛ k v aː tʰ n̩,"['adequaten', 'adäquaten']"
12,a d ɛ n s,"['adens', 'ardens']"
13,a d ɪ n,"['ngadin', 'adin']"
14,a d ɪ ʃ,"['addsch', 'adisch']"
15,a f,"['ough', 'aff', 'ugh']"
16,a f a eː l,"['aphael', 'afael', 'affael']"
17,a f aː,"['affa', 'arfa']"
18,a f ə,"['aphe', 'affe']"
19,a j aː,"['ajah', 'eiar']"
20,a j n,"['ayen', 'ajn']"
21,a j oː n,"['ayon', 'ajon']"
22,a j oː ɐ,"['ajor', 'ayor']"
23,a j uː t,"['ackayout', 'ayout']"
24,a j ɔ,"['ayo', 'alileo']"
25,a j ʊ s,"['ariusz', 'arius', 'aius']"
26,a k f ɪ l ə,"['akville', 'ackville']"
27,a k m a n,"['ackmann', 'ackman']"
28,a k s m a n,"['axman', 'aksman']"
29,a k s n̩,"['achsen', 'axen']"
30,a k s ɔ f ɔ n ɪ s t n̩,"['axofonisten', 'axophonisten']"
31,a k t,"['ackt', 'akt']"
32,a k tʰ oː ɐ,"['eaktor', 'aktor']"
33,a k tʰ oː ʁ n̩,"['aktoren', 'eaktoren']"
34,a kʰ l̩,"['akel', 'ackel']"
35,a kʰ n̩,"['aken', 'akken', 'acken']"
37,a kʰ uː n̩,"['accoon', 'akuen']"
38,a kʰ ɔ,"['aco', 'akko']"
39,a kʰ ə,"['ake', 'acke']"
40,a kʰ ə l iː n ə,"['acqueline', 'aqueline']"
41,a kʰ ə s,"['akes', 'ackes']"
42,a l,"['all', 'al']"
43,a l a,"['ala', 'alla']"
44,a l a iː m,"['alakim', 'alaim']"
45,a l a s t,"['allast', 'alast']"
46,a l aj,"['allei', 'alai']"
47,a l aw,"['allao', 'alau']"
48,a l aː m,"['alaam', 'allam']"
49,a l aː t,"['alad', 'alat']"
50,a l eː,"['alais', 'allee']"
51,a l f,"['alph', 'alf']"
52,a l f aː ɐ t,"['allfahrt', 'alfahrt']"
53,a l iː ɐ,"['allier', 'alier']"
54,a l k,"['alk', 'allchafe']"
55,a l m a n,"['allmann', 'alman']"
56,a l m̩,"['alem', 'allem']"
57,a l n̩,"['allen', 'alen']"
58,a l n̩ b ɛ ʁ k,"['alenberg', 'allenberg']"
59,a l oː n,"['alon', 'allon']"
60,a l s,"['alls', 'ngalls', 'als']"
61,a l t,"['alt', 'ald']"
62,a l ts,"['altz', 'alz']"
63,a l tʰ a,"['alta', 'alcutta']"
64,a l z eː,"['allsee', 'alsee']"
65,a l ɐ,"['aller', 'aler', 'achelor']"
66,a l ɐ s,"['alleres', 'allers', 'alers']"
67,a l ɔ,"['allo', 'alo']"
68,a l ɔ ʁ ɪ,"['alory', 'allory']"
69,a l ə,"['ale', 'alle']"
71,a l ə s,"['alles', 'ales']"
72,a l ɛ n,"['alecn', 'alleann']"
73,a l ɛ n s,"['allens', 'alens', 'alence']"
74,a l ɛ ʁ iː a,"['aleria', 'alleria']"
75,a l ɛ ʁ ɪ,"['allery', 'aleri']"
76,a l ɪ k,"['alik', 'allig']"
77,a l ɪ n,"['allin', 'allinn']"
78,a l ɪ ç,"['allich', 'allig']"
79,a l ɪ ɔ,"['alcio', 'allio']"
80,a l ɪ ʊ m,"['allium', 'alium']"
81,a l ʃ,"['alsch', 'alsh']"
82,a l ʃ n̩,"['alschen', 'alcn']"
83,a l ʃ t a t,"['allstatt', 'allstadt']"
84,a m,"['amm', 'am']"
85,a m a,"['amehamea', 'ama', 'amma']"
86,a m a n,"['amann', 'ammann']"
87,a m a ʁ a,"['amara', 'amarra']"
88,a m aː m,"['amam', 'ammam']"
89,a m aː t,"['amad', 'amat']"
90,a m aː ɐ,"['chammar', 'amar']"
91,a m b ʊ ʁ k,"['amburg', 'ambourg']"
92,a m eː,"['amee', 'ammeh']"
93,a m iː,"['amehamea', 'amie']"
94,a m iː n,"['amin', 'ammin']"
95,a m l̩,"['amele', 'ammel', 'amel']"
96,a m s,"['ams', 'eams', 'arfuß']"
97,a m uː ɐ,"['amur', 'eamour']"
98,a m ɐ,"['ammer', 'amehamea']"
99,a m ɔ,"['ameo', 'amo']"
100,a m ɔ n,"['ammon', 'amon']"
101,a m ə,"['amme', 'ame']"
102,a m ə s,"['ammes', 'ames']"
103,a m ɛ l ə,"['amele', 'amelle']"
104,a m ɪ,"['ammy', 'ami']"
105,a m ɪ l ɔ,"['amilo', 'amillo']"
106,a m ʃ t aj n,"['amstein', 'ammstein']"
107,a n,"['an', 'ann']"
108,a n a,"['anach', 'anna', 'ana']"
109,a n aː l,"['anal', 'aynal']"
110,a n aː n,"['anaan', 'anan']"
111,a n d ə s a m t,"['undesamt', 'andesamt']"
112,a n d ə s a n ʃ t a l t,"['andesanstalt', 'undesanstalt']"
113,a n d ə s a ʁ b aj ts ɡ ə ʁ ɪ ç t,"['undesarbeitsgericht', 'andesarbeitsgericht']"
114,a n d ə s a ʁ ç iː f,"['andesarchiv', 'undesarchiv']"
115,a n d ə s b a ŋ k,"['andesbank', 'undesbank']"
116,a n d ə s eː b ə n ə,"['undesebene', 'andesebene']"
117,a n d ə s k ʁ ɪ m ɪ n aː l a m t,"['andeskriminalamt', 'undeskriminalamt']"
118,a n d ə s m ɪ n ɪ s t eː ʁ ɪ n̩,"['andesministerien', 'undesministerien']"
119,a n d ə s v aj t,"['andesweit', 'undesweit']"
120,a n d ə s ɡ ə b iː t,"['undesgebiet', 'andesgebiet']"
121,a n d ə s ɡ ə z ɛ ts,"['undesgesetz', 'andesgesetz']"
