,phone,word
0,AA B AH,"['aba', 'aaba']"
1,AA B AH L,"['obble', 'obile']"
2,AA B AH N,"['oben', 'obben']"
3,AA B ER T,"['obert', 'obart']"
4,AA B IH N,"['obyn', 'oben']"
5,AA B OW,"['abo', 'aabo']"
6,AA B R IY EH L AH,"['abriella', 'abriela']"
7,AA B UW P,"['oboup', 'oboop']"
8,AA D AH L,"['odale', 'odel']"
9,AA D AH N,"['odon', 'ohdan', 'aden']"
10,AA D AH T IY,"['oddity', 'odiity']"
11,AA D ER D,"['odard', 'oddard']"
12,AA D OW,"['ado', 'addow']"
13,AA D Y AH,"['odja', 'adhya']"
14,AA F AH L,"['awful', 'ophal', 'awefull']"
15,AA F IY,"['ophie', 'offee']"
16,AA F T,"['oft', 'oboft']"
17,AA G,"['og', 'ogg', 'ogge']"
18,AA G AH L,"['oggle', 'auxhall']"
19,AA G IY,"['agi', 'oggy', 'iyagi']"
20,AA G N AA S T IH K,"['gnostic', 'agnostic']"
21,AA HH AH,"['oha', 'aha', 'hha']"
22,AA HH UW,"['ahoo', 'ahu']"
23,AA JH,"['odge', 'aj']"
24,AA K AE CH IY,"['oxahatchee', 'akahatchee']"
25,AA K AH N,"['ochen', 'ochn', 'awken']"
26,AA K ER,"['awker', 'occer', 'aakir']"
27,AA K IH T,"['ockit', 'ockett']"
28,AA K IY,"['aki', 'ockey', 'ocky']"
29,AA K S ER,"['occer', 'oxer']"
30,AA K S IH NG,"['xeroxing', 'oxing']"
31,AA K S IY HH AH M AH G L OW B AH N,"['eoxyhemoglobin', 'oxyhemoglobin']"
35,AA K UW,"['ockou', 'aku']"
36,AA K UW L AH,"['ochula', 'akulla']"
37,AA L AH,"['olla', 'allah', 'ala']"
38,AA L AH D EY,"['olladay', 'oliday']"
39,AA L AH M,"['atialam', 'olumn', 'olum']"
40,AA L AH M AH N,"['alamun', 'olomon']"
41,AA L AH M B IY AH,"['olumbia', 'olombia']"
42,AA L AH M B IY AH N,"['olombian', 'olumbian']"
43,AA L AH N,"['ollen', 'ollan']"
44,AA L AH N D,"['olland', 'ollande']"
45,AA L AH S IY AH M,"['olosseum', 'oliseum']"
46,AA L IH D EY,"['olliday', 'oliday']"
47,AA L M,"['alme', 'alm']"
48,AA L M AH N,"['almon', 'alman', 'olman']"
49,AA L T IY,"['alty', 'alti']"
50,AA L V OW,"['olvo', 'alvao']"
51,AA M AA R,"['amar', 'amarr']"
52,AA M AH,"['mma', 'omma', 'ihamah']"
53,AA M AH D IY,"['omedy', 'armody', 'omeday']"
54,AA M IH NG,"['oming', 'ombing']"
55,AA M IH R,"['amire', 'amir']"
56,AA M IY,"['ami', 'ommy']"
57,AA M N IY,"['omney', 'omni']"
58,AA M UW D,"['ahmoud', 'ahmood']"
59,AA N AH M,"['okneam', 'onam']"
60,AA N AH S T,"['onest', 'honest']"
61,AA N AH S T L IY,"['onestly', 'honestly']"
62,AA N AH T,"['onet', 'onnet']"
63,AA N D,"['and', 'ond', 'onde']"
64,AA N D AH,"['iyanda', 'onda']"
65,AA N D ER,"['onder', 'ondor']"
