,phone,word
0,a c e ð a,"['akeda', 'aqueda']"
1,a e l,"['ael', 'ahel']"
2,a e n θ,"['áenz', 'aenz']"
3,a e θ,"['aez', 'áez']"
4,a f e ɣ t̪ o,"['afectó', 'afecto']"
5,a f i,"['afi', 'haffee']"
6,a i a,"['ahía', 'aía']"
7,a i k a,"['aica', 'aika']"
8,a i l,"['ail', 'áil']"
9,a i l a,"['aila', 'ayla']"
10,a i l e i,"['ipley', 'ailey']"
11,a i l i,"['aily', 'ayley']"
12,a i l o ɾ,"['aylor', 'ailor']"
13,a i m a n,"['aymán', 'ayman']"
14,a i m i,"['aimi', 'aymmi']"
15,a i m u n d̪ o,"['aymundo', 'aimundo']"
16,a i n e,"['hayanne', 'ayne', 'aine']"
17,a i n e s,"['aynes', 'aines']"
18,a i p o,"['ippo', 'aipo']"
19,a i s i,"['aisy', 'ipsy']"
20,a i t̪ i,"['aití', 'ahití']"
21,a i t̪ i ŋ,"['ighting', 'ightning']"
22,a i w a n,"['aiwán', 'aiwan']"
23,a i ð,"['aid', 'aíd']"
24,a i ð a,"['aída', 'aida']"
25,a i ð e n,"['ayden', 'aiden']"
26,a i ð e ɾ,"['aider', 'aither']"
27,a i ð o s,"['aídos', 'aidós']"
28,a i ŋ,"['aing', 'hataing']"
29,a i θ,"['aiz', 'áiz']"
30,a k a i,"['akai', 'acay']"
31,a k a o,"['acao', 'akao']"
32,a k a ɾ,"['akar', 'ácar']"
33,a k a ʃ i,"['akashi', 'akahashi']"
34,a k a β a ɾ a,"['acabará', 'acabara']"
35,a k a β o,"['acabó', 'acabo']"
36,a k o s t̪ e,"['acosté', 'acoste']"
37,a k o t̪ a,"['akota', 'acota']"
38,a k o β,"['akob', 'acob']"
39,a k s,"['aks', 'ax']"
40,a k u,"['akú', 'aku']"
41,a l a,"['ala', 'hala', 'alá']"
42,a l a n,"['alang', 'alán']"
43,a l a s,"['allás', 'alas']"
44,a l a w i,"['alaui', 'alawi']"
45,a l a β o,"['alabo', 'alabó']"
46,a l e ɾ,"['ahler', 'hler']"
47,a l i a,"['alía', 'halía']"
48,a l i l,"['halil', 'alil']"
49,a l i s t̪ o,"['alisto', 'alistó', 'alixto']"
50,a l i θ,"['áliz', 'alahiz']"
51,a l j a,"['halia', 'alia']"
52,a l j o,"['alio', 'alió']"
53,a l k a n θ o,"['alcanzo', 'alcanzó']"
54,a l k o n,"['alcon', 'alcón', 'halcón']"
55,a l k o n e s,"['alcones', 'halcones']"
56,a l o,"['ahlo', 'alo']"
57,a l o m o n,"['alomón', 'alomon']"
58,a l o n,"['alón', 'alon']"
59,a l s,"['alsh', 'als']"
60,a l t̪ e r n o,"['alternó', 'alterno']"
61,a l t̪ e ɾ,"['álter', 'alter']"
62,a l u,"['aloo', 'alou', 'alú']"
63,a l β a,"['alva', 'alba']"
64,a l β i n a,"['alvina', 'albina']"
65,a l β o,"['albo', 'alvo', 'alvó']"
66,a l β u m,"['álbum', 'album']"
67,a m,"['amm', 'am']"
68,a m a,"['amá', 'ama', 'amma']"
69,a m a n,"['aman', 'amm', 'ahman']"
70,a m a s,"['amás', 'ahamas', 'amas']"
71,a m a s o,"['ámaso', 'amasó']"
72,a m a ɾ a,"['ámara', 'amara']"
73,a m b j o,"['ambió', 'ambio']"
74,a m b o,"['ambó', 'ambo']"
75,a m b ɾ j e n t̪ o,"['ambriento', 'hambriento']"
76,a m e,"['ame', 'amet']"
77,a m e s,"['ames', 'hames']"
78,a m e t̪,"['amet', 'ammett']"
79,a m e ɾ,"['ammer', 'amer']"
80,a m e ɾ i k a n a,"['anmericana', 'americana']"
81,a m i,"['ami', 'ammy', 'amry']"
82,a m i n o,"['aminó', 'amino']"
83,a m i n s c i,"['aminsky', 'aminski']"
84,a m i ɾ e θ,"['amírez', 'amirez']"
85,a m o n,"['amon', 'amón']"
86,a m p,"['amp', 'hamp']"
87,a m p a,"['anpa', 'hampa', 'ampa']"
88,a m p l j o,"['amplio', 'amplió']"
89,a m u s,"['amous', 'amus']"
90,a n a m a,"['anamá', 'anama']"
