,phone,word
0,a a m a,"['ahamas', 'ahamat', 'ahama']"
1,a a ɑ̃,"['ahan', 'ahang']"
2,a a ʁ,"['hahar', 'ahar', 'ahard']"
3,a b a l,"['habal', 'abale', 'abbale']"
4,a b a s j a l,"['abbatiale', 'abbatial']"
5,a b a t i,"['abattit', 'abatis']"
6,a b a t j e,"['abatier', 'abatiyé']"
7,a b a t w a ʁ,"['abattoirs', 'abattoir']"
8,a b a t y,"['abattu', 'abattues', 'abattue']"
9,a b a t ɛ,"['abattaient', 'abattait']"
10,a b a z,"['abas', 'abase']"
11,a b a z u ʁ d i,"['abasourdi', 'abasourdie', 'abasourdis']"
12,a b a ʁ,"['abart', 'abarre']"
13,a b d i c e,"['abdiquez', 'abdiquer']"
14,a b d i k,"['abdique', 'abdiquent']"
15,a b d ɔ m i n a l,"['abdominales', 'abdominale']"
16,a b e,"['abbés', 'abbé', 'aber']"
17,a b e s e,"['abaisser', 'abaissé', 'abaissée']"
18,a b i b,"['abib', 'hbib']"
19,a b i j,"['shabille', 'habille']"
20,a b i m,"['abime', 'abimes', 'abîme']"
21,a b i n,"['abines', 'abine']"
22,a b i s,"['abisse', 'abis']"
23,a b i t,"['habites', 'habitent', 'habite']"
24,a b i t a b l,"['habitables', 'habitable']"
25,a b i t a s j ɔ̃,"['habitation', 'habitations']"
26,a b i t y,"['shabituent', 'shabitue', 'habitues']"
27,a b i t y d,"['habitude', 'habitudes']"
28,a b i t ɑ̃,"['habitants', 'abitant', 'habitant']"
29,a b i t ɛ,"['habitait', 'habitaient']"
30,a b i t ɥ ɛ l m ɑ̃,"['abituellement', 'habituellement']"
31,a b i ʃ,"['abich', 'abiche']"
32,a b i ʎ i t e,"['habilitée', 'habilitées', 'habilité']"
33,a b j e,"['abier', 'abié']"
34,a b j o,"['abio', 'ábio']"
35,a b l ɛ,"['abelay', 'abelais']"
37,a b u,"['abú', 'abou', 'habous']"
38,a b u l o,"['aboulot', 'aboulots']"
39,a b u t i s,"['aboutissent', 'aboutisse']"
40,a b u t i s m ɑ̃,"['aboutissements', 'aboutissement']"
41,a b u t i s ɑ̃,"['aboutissants', 'aboutissant']"
42,a b u ʁ,"['abour', 'abourg', 'abourd']"
43,a b w a m ɑ̃,"['aboiement', 'aboiements']"
44,a b y,"['abu', 'abut', 'abus']"
45,a b y k,"['abuk', 'abuc']"
46,a b y z,"['abuses', 'abuse']"
47,a b y z e,"['abusez', 'abuser', 'abusé']"
48,a b y z i v,"['abusives', 'abusive']"
49,a b ɑ,"['àbas', 'abas']"
50,a b ɑ̃ d ɔ n,"['abandonne', 'abandonnes', 'abandonnent']"
51,a b ɔ l,"['abol', 'abaul']"
52,a b ɔ n m ɑ̃,"['abonnement', 'abonnements']"
53,a b ɔ ʁ,"['abord', 'abords', 'abor']"
54,a b ɔ ʁ a t w a ʁ,"['aboratoire', 'aboratoires']"
55,a b ɔ ʁ d,"['abordent', 'aborde']"
56,a b ɔ̃ d,"['abonde', 'abondent']"
57,a b ɔ̃ d ɑ̃,"['abondant', 'abondants']"
58,a b ɔ̃ d ɑ̃ t,"['abondantes', 'abondante']"
59,a b ɛ,"['habet', 'abbey', 'abet']"
60,a b ɛ i,"['abbaye', 'abbayes']"
61,a b ɛ j,"['abeille', 'abeilles']"
62,a b ɛ l,"['abeille', 'abel', 'abelle']"
63,a b ɛ ʁ,"['abert', 'aber']"
64,a b ʁ,"['abres', 'abre']"
65,a b ʁ a,"['abera', 'abbra']"
66,a b ʁ e,"['abrés', 'abrez']"
67,a b ʁ e ʒ e,"['abrégé', 'abrégée']"
68,a b ʁ i j ɛ l a,"['abriela', 'abriella']"
69,a b ʁ i k,"['abric', 'abrique']"
70,a b ʁ i t,"['abritent', 'abrite']"
71,a b ʁ i t e,"['abriter', 'abrité', 'abritée']"
72,a b ʁ i t ɛ,"['abritait', 'abritaient']"
73,a b ʁ œ v e,"['abreuvé', 'abreuver']"
74,a b ʁ ɔ l,"['abrol', 'habrol']"
75,a b ʁ ɔ ʒ e,"['abrogé', 'abrogées', 'abrogée']"
76,a b ʎ i,"['hablis', 'ably', 'abli']"
77,a c i n t ɔ ʃ,"['acintosh', 'ackintosh']"
78,a c i t ɛ̃,"['aquitain', 'aquitains']"
79,a c i z,"['acquise', 'acquises']"
80,a c i z i s j ɔ̃,"['acquisitions', 'acquisition']"
81,a c i ɲ i,"['achini', 'acquigny']"
82,a c i ʁ a,"['hakira', 'áchira']"
83,a c ɛ n z i,"['ackenzie', 'ackenzies']"
84,a c ɛ̃,"['hacun', 'aquin']"
85,a d a,"['aadat', 'adda', 'ada']"
86,a d a p t,"['adapte', 'adaptent']"
87,a d a p t a s j ɔ̃,"['adaptations', 'adaptation']"
88,a d e ʁ e,"['adhéré', 'adhérer']"
89,a d e ʁ ɑ̃,"['adhérent', 'adhérents']"
90,a d e ʁ ɑ̃ t,"['adhérente', 'adhérentes']"
91,a d i j a,"['adiya', 'adilla']"
92,a d i k a l,"['adicale', 'adical']"
93,a d i n,"['adine', 'adîn']"
94,a d i p ø z,"['adipeuse', 'adipeuses']"
95,a d i s j ɔ n e,"['additionnés', 'additionnée', 'additionner']"
96,a d i s j ɔ̃,"['addition', 'additions']"
97,a d i t i f,"['additif', 'additifs']"
98,a d j a,"['aadia', 'adhya', 'adia']"
99,a d j e,"['addier', 'adier']"
100,a d j o,"['adios', 'adio']"
101,a d j ø,"['adieu', 'adieux']"
102,a d l e,"['adeler', 'adler']"
103,a d l ɛ n,"['adeleine', 'adelaine']"
104,a d m i,"['admis', 'admit', 'àdemi']"
105,a d m i s i b l,"['admissibles', 'admissible']"
106,a d m i z,"['admises', 'admise']"
107,a d m i ɲ i s t ʁ,"['administre', 'administrent']"
108,a d m i ɲ i s t ʁ a s j ɔ̃,"['administration', 'administrations']"
109,a d m i ɲ i s t ʁ a t i f,"['administratifs', 'administratif']"
110,a d m i ɲ i s t ʁ a t i v,"['administrative', 'administratives']"
111,a d m i ɲ i s t ʁ a t œ ʁ,"['administrateurs', 'administrateur']"
112,a d m i ʁ,"['admirent', 'admire']"
113,a d m i ʁ a b l,"['admirable', 'admirables']"
114,a d m i ʁ a t œ ʁ,"['admirateur', 'admirateurs']"
115,a d m i ʁ ɛ,"['admiraient', 'admirait']"
116,a d m ɛ t,"['admettent', 'admette']"
117,a d n e,"['adner', 'adnées']"
118,a d o l a,"['adawla', 'adaula']"
119,a d u,"['adoue', 'adoux', 'adou']"
120,a d v ɛ ʁ s,"['adverse', 'adverses']"
121,a d v ɛ ʁ s ɛ ʁ,"['adversaires', 'adversaire']"
