id	audio	n_frames	tgt_text	src_text	speaker
ted_767_0	en-es/flac.zip:3596756966:120027	137600	Estos avances, necesitamos que se muevan a máxima velocidad, y podemos medir eso a nivel de empresas, proyectos pilotos, y legislaciones que han cambiado.	These breakthroughs, we need to move those at full speed, and we can measure that in terms of companies, pilot projects, regulatory things that have been changed.	spk.767
ted_767_1	en-es/flac.zip:7997522628:35842	40480	Hay muchos buenos libros que han sido escritos sobre esto.	There's a lot of great books that have been written about this.	spk.767
ted_767_2	en-es/flac.zip:3138558951:183983	210240	El libro de Al Gore, "Nuestra Elección" y el libro de David McKay, "Energía Sustentable, sin el aire caliente." Realmente lo estudian y crean un marco para que esto se pueda discutir ampliamente, porque necesitamos soporte amplio para esto.	The Al Gore book, "Our Choice," and the David MacKay book, "Sustainable Energy Without the Hot Air." They really go through it and create a framework that this can be discussed broadly, because we need broad backing for this.	spk.767
ted_767_3	en-es/flac.zip:16042588648:255200	310880	Y entonces, estamos en una situación fantástica con electricidad en el mundo desarrollado Pero, a medida que la hacemos más económica - e intentemos hacerla dos veces más económica - debemos cumplir con una nueva restricción, y esa restricción tiene que ver con el CO2.	And so, we're in a wonderful situation with electricity in the rich world. But as we make it cheaper — and let's say, let's go for making it twice as cheap — we need to meet a new constraint, and that constraint has to do with CO2.	spk.767
ted_767_4	en-es/flac.zip:24653151328:26539	28480	Hay mucho que tiene que concurrir	There's a lot that has to come together.	spk.767
ted_767_5	en-es/flac.zip:18597908560:16333	16640	Así que esto es un deseo.	So this is a wish.	spk.767
ted_767_6	en-es/flac.zip:18213560950:57026	69759	Es un deseo muy concreto que inventemos esta tecnología.	It's a very concrete wish that we invent this technology.	spk.767
ted_767_7	en-es/flac.zip:21660979686:204321	237920	Si me dieran solo un deseo para los próximos 50 años, Podría elegir quien es presidente, Podría elegir una vacuna, que es algo que amo, o podría elegir que esta cosa que tenga la mitad del costo y cero emisiones de CO2 sea inventada este es el deseo que yo eligiría.	If you gave me only one wish for the next 50 years — I could pick who's president, I could pick a vaccine, which is something I love, or I could pick that this thing that's half the cost with no CO2 gets invented — this is the wish I would pick.	spk.767
ted_767_8	en-es/flac.zip:12645886718:25463	28320	Este es el que tiene el mayor impacto.	This is the one with the greatest impact.	spk.767
ted_767_9	en-es/flac.zip:25847625195:187090	216320	Si no logramos tener este deseo, la división entre la gente que piensa a corto plazo y a largo plazo será terrible, entre los Estados Unidos y China, entre los países pobres y los ricos, y la mayoría de las vidas de esos 2.000 millones será mucho peor.	If we don't get this wish, the division between the people who think short term and long term will be terrible, between the US and China, between poor countries and rich, and most of all, the lives of those two billion will be far worse.	spk.767
ted_767_10	en-es/flac.zip:28248220952:88106	107199	¿Entonces, que debemos hacer? ¿Que estoy apelando en ustedes para que den un paso adelante y conduzcan?	So what do we have to do? What am I appealing to you to step forward and drive?	spk.767
ted_767_11	en-es/flac.zip:15689550182:37572	42720	Necesitamos buscar más financiación para investigación.	We need to go for more research funding.	spk.767
ted_767_12	en-es/flac.zip:28808054723:63020	69440	Cuando los países se reúnen en lugares como Copenhague, no deberían solamente discutir sobre CO2.	When countries get together in places like Copenhagen, they shouldn't just discuss the CO2.	spk.767
ted_767_13	en-es/flac.zip:26369561877:120273	136160	Deberían discutir sobre esta agenda de innovación, y estarían sorprendidos a estos niveles de gastos ridículamente bajos sobre estos enfoques innovadores.	They should discuss this innovation agenda. You'd be stunned at the ridiculously low levels of spending on these innovative approaches.	spk.767
ted_767_14	en-es/flac.zip:16364998026:89265	100800	Necesitamos los incentivos de mercado, impuestos sobre CO2, mercado de bonos de carbono, algo que difunda esa señal de precio.	We do need the market incentives — CO2 tax, cap and trade — something that gets that price signal out there.	spk.767
ted_767_15	en-es/flac.zip:26342944787:20360	20320	Necesitamos difundir el mensaje.	We need to get the message out.	spk.767
ted_767_16	en-es/flac.zip:13140199207:87500	100960	Necesitamos que este dialogo sea más racional, que sea un dialogo más entendible, incluyendo los pasos que tome el gobierno.	We need to have this dialogue be a more rational, more understandable dialogue, including the steps that the government takes.	spk.767
ted_767_17	en-es/flac.zip:13097729157:50052	56160	Este es un deseo importante, pero es un deseo que creo que podemos alcanzar.	This is an important wish, but it is one I think we can achieve.	spk.767
